method,lambda,mask_bits,fitness,auc,selected_count,selected_ratio,seconds,model_fits_so_far,final_cv_auc,final_cv_fitness,final_cv_seconds,final_cv_folds,run_dir,preset,seed,mode,device,rows,search_features
TopK_MI_68,0.05,111111111111111111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.7484238218603503,0.771090488527017,68,0.4533333333333333,0.8392412999965018,41940,0.8128258015049681,0.7901591348383015,17.511710899998434,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
AllSearchFeatures,0.1,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.7202833086602517,0.8202833086602517,150,1.0,1.321150599993416,5,0.8610166248311307,0.7610166248311308,29.809303499991078,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
RandomSearch,0.1,000100000000001000001010100001000001000100101000001000011000000100100100100101000000000000110000010000000001110000100010010000000001000110000000001000,0.7991268813224772,0.8204602146558105,32,0.2133333333333333,1899.9048337999996,12010,0.8424681735928908,0.8211348402595575,12.946136400001706,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
GA,0.1,001100000101010000110100000100000011000110101000110000000110110000101000000000001000000000000001010000100001010000010001010000100000001010000000001000,0.807550518134715,0.831550518134715,36,0.24,1367.1742161000002,21325,0.8476170373772203,0.8236170373772203,13.537870400003158,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
SA,0.1,110110000101000110010001000000110000010111100100011000001001000110111001010010011101000100001010110000010000010100000000010101010010001110000000101010,0.7951888724401677,0.830522205773501,53,0.3533333333333333,3074.436898900007,41960,0.8494259777066044,0.8140926443732711,15.772479699997348,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_36,0.1,111111111111111111111111111111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.6688632494448556,0.6928632494448557,36,0.24,0.5669668000045931,41965,0.7157384908795278,0.6917384908795278,12.386053700000048,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
TopK_MI_53,0.1,111111111111111111111111111111111111111111111111111110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.716841907229213,0.7521752405625464,53,0.3533333333333333,0.7043069000064861,41970,0.793353355491283,0.7580200221579497,15.538989599997876,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
AllSearchFeatures,0.2,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.6202833086602517,0.8202833086602517,150,1.0,1.296131700000842,5,0.8610166248311307,0.6610166248311307,29.510712699993743,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
RandomSearch,0.2,000100000000000000111000000000010000001011000001001010000011000000110011000000100001110000010000000100000000010000000000100000100000000010000100010000,0.7771519861830744,0.815818652849741,29,0.1933333333333333,1856.0938144999964,12010,0.8470318085775878,0.8083651419109211,12.590653399995064,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
GA,0.2,000000000000010000000110000001000010000010110000000000000000010010100010010000000000000000010000110000000001010000000000010000000100000010100010000000,0.7983718233407354,0.829038490007402,23,0.1533333333333333,1266.799776800006,21285,0.8504375820480672,0.8197709153814006,11.517585900000997,5,results\run_20260614_123407,word_strict,7,real,cpu,20000,150
