lambda,n_runs,ga_features_mean,sa_features_mean,overlap_mean,jaccard_mean,jaccard_std
0.0,3,74.66666666666667,79.33333333333333,46.0,0.42615429875406496,0.009256333300318033
0.05,3,50.666666666666664,67.0,26.0,0.28381437317607533,0.02449847931936934
0.1,3,38.333333333333336,52.0,18.333333333333332,0.2554821491388655,0.024910213792393426
0.2,3,22.333333333333332,20.666666666666668,8.666666666666666,0.25072121688958826,0.05072354924745121
